,Immune
TCGA-C8-A27A,-0.296454675
TCGA-AR-A0TW,0.25326108
TCGA-A1-A0SH,-0.042179106
TCGA-A2-A0EW,0.076313923
TCGA-GM-A2DN,0.372061295
TCGA-BH-A1FL,-0.167871118
TCGA-C8-A1HO,-0.24498951
TCGA-OL-A5RX,-0.074037627
TCGA-A8-A09T,-0.059885344
TCGA-AR-A24Z,-0.055537131
TCGA-A7-A26I,-0.148636447
TCGA-AC-A5XU,-0.345565948
TCGA-BH-A1FN,-0.027454898
TCGA-C8-A12K,0.384808407
TCGA-D8-A1XW,0.173623505
TCGA-E2-A14Z,0.303545001
TCGA-AN-A0AT,-0.071382786
TCGA-3C-AALI,0.030501135
TCGA-AC-A3HN,0.027506392
TCGA-AR-A1AW,0.411071715
TCGA-B6-A3ZX,0.257509099
TCGA-LL-A740,-0.169677162
TCGA-E9-A1NC,0.154633076
TCGA-OL-A5D6,-0.242633647
TCGA-C8-A1HG,0.034108635
TCGA-BH-A0B0,0.214371309
TCGA-E2-A15M,0.330900735
TCGA-AO-A0J7,-0.258401173
TCGA-AR-A252,0.376783203
TCGA-E2-A15I,0.04077122
TCGA-AR-A0TX,0.33799182
TCGA-A7-A3IZ,-0.293273981
TCGA-B6-A0X4,-0.320496174
TCGA-E9-A1N5,0.032701661
TCGA-AR-A2LM,-0.082406439
TCGA-AR-A1AU,-0.210631644
TCGA-E2-A156,-0.05201741
TCGA-B6-A0WT,-0.184197926
TCGA-D8-A1J9,-0.049382009
TCGA-E2-A1B0,0.032249385
TCGA-AC-A2QH,-0.177748901
TCGA-AR-A5QQ,0.272998161
TCGA-BH-A28O,-0.271097892
TCGA-D8-A27N,0.029451683
TCGA-B6-A0I9,-0.020548637
TCGA-A2-A04R,-0.361937086
TCGA-C8-A27B,0.321433592
TCGA-BH-A0BJ,0.092964945
TCGA-AR-A1AS,0.065351541
TCGA-E9-A22B,-0.067961981
TCGA-A1-A0SK,-0.258937863
TCGA-AR-A24M,-0.072803447
TCGA-BH-A201,-0.062542645
TCGA-OL-A66H,0.034915855
TCGA-D8-A1XO,0.211830066
TCGA-AR-A1AR,0.364874516
TCGA-AO-A0J2,0.069865783
TCGA-E2-A1IL,-0.296078943
TCGA-C8-A135,0.03097245
TCGA-A2-A0CZ,-0.058072828
TCGA-BH-A1EX,0.150054549
TCGA-D8-A1X5,0.023495823
TCGA-D8-A4Z1,-0.151736636
TCGA-D8-A1JG,0.164242408
TCGA-OL-A5DA,-0.091824644
TCGA-EW-A1P7,0.380923542
TCGA-A2-A259,0.163445667
TCGA-A7-A4SE,-0.058761381
TCGA-BH-A2L8,0.138483058
TCGA-A8-A06U,0.017545225
TCGA-BH-A0BW,0.353302675
TCGA-BH-A0EI,-0.300346941
TCGA-D8-A1JE,0.082815779
TCGA-A8-A08J,-0.154864507
TCGA-AO-A03L,-0.095247382
TCGA-D8-A1Y0,0.159449542
TCGA-AR-A1AY,0.03320477
TCGA-A8-A09N,-0.22242733
TCGA-E9-A1N3,-0.354560375
TCGA-A1-A0SE,-0.275940838
TCGA-S3-AA0Z,0.185429539
TCGA-E2-A109,-0.335524894
TCGA-A2-A0T1,0.310711344
TCGA-D8-A1X7,-0.101304156
TCGA-AN-A0XO,-0.214334125
TCGA-A2-A0SU,-0.07930687
TCGA-AN-A0XL,-0.234278765
TCGA-B6-A0WS,0.212825079
TCGA-A2-A0YT,-0.234879575
TCGA-A8-A08B,0.005326893
TCGA-A8-A07F,0.062156571
TCGA-A7-A3J0,-0.156925271
TCGA-AR-A254,0.299106073
TCGA-B6-A0RE,-0.126546414
TCGA-AQ-A04L,-0.171431909
TCGA-A7-A2KD,0.020242526
TCGA-AN-A0FJ,-0.049612584
TCGA-BH-A0DX,0.280695545
TCGA-E9-A3Q9,-0.013627232
TCGA-E9-A228,-0.326982703
TCGA-A8-A07I,0.302301352
TCGA-A8-A086,-0.378399486
TCGA-AC-A3W6,0.09323103
TCGA-BH-A203,0.346012011
TCGA-D8-A1JJ,-0.115051759
TCGA-XX-A89A,0.095038018
TCGA-B6-A0RT,0.341011873
TCGA-AO-A0J3,-0.292762192
TCGA-OL-A66K,-0.261799074
TCGA-BH-A202,0.198470487
TCGA-A7-A4SA,0.081085001
TCGA-E2-A14S,-0.017538438
TCGA-E2-A1L9,0.06866563
TCGA-A2-A0EO,0.010023432
TCGA-AC-A2B8,0.210913889
TCGA-A8-A085,-0.285956087
TCGA-A2-A4S3,-0.058877728
TCGA-C8-A12U,0.04127504
TCGA-D8-A1JA,0.008633865
TCGA-BH-A0DP,0.102319999
TCGA-A1-A0SO,-0.239663955
TCGA-E9-A1ND,0.431712895
TCGA-E9-A22A,0.212172876
TCGA-AC-A2FF,0.148552516
TCGA-BH-A0DO,-0.157971364
TCGA-D8-A1XT,-0.009329616
TCGA-E2-A1BD,-0.170015528
TCGA-AO-A03P,-0.290858338
TCGA-E2-A15A,0.03673071
TCGA-A2-A04X,0.15750387
TCGA-B6-A0IC,-0.330293122
TCGA-C8-A12Z,-0.071467363
TCGA-AR-A1AJ,0.466025568
TCGA-A7-A6VV,0.111979417
TCGA-A7-A0DB,-0.046561177
TCGA-AC-A6NO,-0.30600568
TCGA-EW-A2FW,-0.298016447
TCGA-E9-A1RH,-0.189844257
TCGA-A8-A09A,-0.004871094
TCGA-A8-A091,-0.190466923
TCGA-AC-A23H,-0.115268636
TCGA-A7-A13H,0.225079318
TCGA-B6-A400,0.056487322
TCGA-D8-A1Y2,0.283603159
TCGA-LL-A440,0.17444969
TCGA-D8-A141,0.383998105
TCGA-E9-A1RB,-0.054670586
TCGA-EW-A1PC,-0.284888869
TCGA-A8-A081,0.162560338
TCGA-E2-A1II,0.369231762
TCGA-A7-A3RF,-0.353026111
TCGA-AO-A124,-0.105671587
