,Proliferative
TCGA-C8-A27A,0.354798003
TCGA-AR-A0TW,0.01738378
TCGA-A1-A0SH,-0.329543415
TCGA-A2-A0EW,-0.381956787
TCGA-GM-A2DN,-0.15113517
TCGA-BH-A1FL,0.154683673
TCGA-C8-A1HO,0.139929259
TCGA-OL-A5RX,-0.42462091
TCGA-A8-A09T,-0.357847538
TCGA-AR-A24Z,0.319980788
TCGA-A7-A26I,0.256733571
TCGA-AC-A5XU,-0.082643085
TCGA-BH-A1FN,0.139952076
TCGA-C8-A12K,0.301857777
TCGA-D8-A1XW,-0.081235074
TCGA-E2-A14Z,-0.08664744
TCGA-AN-A0AT,0.346854407
TCGA-3C-AALI,-0.077509601
TCGA-AC-A3HN,-0.210423341
TCGA-AR-A1AW,0.07906189
TCGA-B6-A3ZX,-0.011053041
TCGA-LL-A740,-0.252030272
TCGA-E9-A1NC,-0.226367664
TCGA-OL-A5D6,-0.419400524
TCGA-C8-A1HG,-0.116130521
TCGA-BH-A0B0,-0.413394134
TCGA-E2-A15M,0.28862145
TCGA-AO-A0J7,0.218238326
TCGA-AR-A252,-0.034150505
TCGA-E2-A15I,-0.285909527
TCGA-AR-A0TX,-0.044000994
TCGA-A7-A3IZ,0.090102604
TCGA-B6-A0X4,-0.415567629
TCGA-E9-A1N5,-0.291699282
TCGA-AR-A2LM,-0.259524181
TCGA-AR-A1AU,-0.126314818
TCGA-E2-A156,-0.379927478
TCGA-B6-A0WT,-0.31188682
TCGA-D8-A1J9,0.138328047
TCGA-E2-A1B0,0.399915598
TCGA-AC-A2QH,0.120888457
TCGA-AR-A5QQ,0.081096028
TCGA-BH-A28O,-0.433279744
TCGA-D8-A27N,-0.0119578
TCGA-B6-A0I9,0.278045808
TCGA-A2-A04R,0.286518883
TCGA-C8-A27B,0.404260981
TCGA-BH-A0BJ,-0.302226746
TCGA-AR-A1AS,0.026507353
TCGA-E9-A22B,-0.063403138
TCGA-A1-A0SK,0.35155498
TCGA-AR-A24M,0.082181296
TCGA-BH-A201,-0.005674215
TCGA-OL-A66H,-0.286077201
TCGA-D8-A1XO,-0.109402719
TCGA-AR-A1AR,0.380103609
TCGA-AO-A0J2,0.268628587
TCGA-E2-A1IL,-0.415491921
TCGA-C8-A135,0.067369011
TCGA-A2-A0CZ,-0.474055811
TCGA-BH-A1EX,0.016621179
TCGA-D8-A1X5,-0.19857504
TCGA-D8-A4Z1,-0.454706683
TCGA-D8-A1JG,0.315041099
TCGA-OL-A5DA,-0.332099782
TCGA-EW-A1P7,-0.337152837
TCGA-A2-A259,-0.256030447
TCGA-A7-A4SE,-0.056460992
TCGA-BH-A2L8,-0.301953449
TCGA-A8-A06U,0.114569132
TCGA-BH-A0BW,0.121949925
TCGA-BH-A0EI,-0.22410578
TCGA-D8-A1JE,0.108900663
TCGA-A8-A08J,0.088876596
TCGA-AO-A03L,0.305510761
TCGA-D8-A1Y0,0.288948461
TCGA-AR-A1AY,0.356513384
TCGA-A8-A09N,0.14322201
TCGA-E9-A1N3,0.059984016
TCGA-A1-A0SE,-0.001077032
TCGA-S3-AA0Z,0.295190664
TCGA-E2-A109,0.291900114
TCGA-A2-A0T1,-0.120426842
TCGA-D8-A1X7,0.146879827
TCGA-AN-A0XO,0.044517347
TCGA-A2-A0SU,-0.165255786
TCGA-AN-A0XL,-0.183569853
TCGA-B6-A0WS,-0.091792482
TCGA-A2-A0YT,0.362927842
TCGA-A8-A08B,-0.204992855
TCGA-A8-A07F,0.163920108
TCGA-A7-A3J0,-0.025171323
TCGA-AR-A254,0.252635031
TCGA-B6-A0RE,0.22497478
TCGA-AQ-A04L,-0.127883865
TCGA-A7-A2KD,0.216244156
TCGA-AN-A0FJ,0.056462579
TCGA-BH-A0DX,-0.157697647
TCGA-E9-A3Q9,-0.406331412
TCGA-E9-A228,0.354668917
TCGA-A8-A07I,0.130453213
TCGA-A8-A086,0.057364533
TCGA-AC-A3W6,-0.358169161
TCGA-BH-A203,0.237282351
TCGA-D8-A1JJ,0.315438073
TCGA-XX-A89A,-0.401248441
TCGA-B6-A0RT,0.184627154
TCGA-AO-A0J3,0.200552321
TCGA-OL-A66K,-0.359071929
TCGA-BH-A202,0.381891083
TCGA-A7-A4SA,-0.348792553
TCGA-E2-A14S,0.102883354
