,Eigen-Gene
TCGA-AO-A0JC,-2.260544829825609
TCGA-LD-A9QF,-1.6416532370650057
TCGA-BH-A0H5,-2.303733117466565
TCGA-A2-A25F,-3.933553254177363
TCGA-B6-A0RT,-1.6726827690107622
TCGA-A2-A0ST,-2.050733570630286
TCGA-A2-A04Q,-2.5321380715381117
TCGA-E9-A2JT,-0.9487863535241354
TCGA-LL-A5YO,-1.2600100928729332
TCGA-OL-A5RY,-0.9908930274867965
TCGA-A2-A0EP,-3.1499755056081984
TCGA-BH-A1F0,-2.0119726679164507
TCGA-BH-A0RX,-0.7347619479906179
TCGA-EW-A1P7,-1.5298389954547162
TCGA-AR-A1AX,-0.7744626965223773
TCGA-A8-A0A7,-2.178411515458272
TCGA-A2-A0CL,-1.3372727513098743
TCGA-A8-A08H,-2.021708230976517
TCGA-AR-A1AW,-1.5591274340433312
TCGA-GM-A2DI,-0.6349006747442598
TCGA-E9-A243,-2.6448836654394072
TCGA-AN-A0FN,-1.74681833679144
TCGA-AO-A128,-2.7949777023071176
TCGA-A8-A07U,-0.8228738031028173
TCGA-AR-A24U,-0.9279467534978108
TCGA-AR-A1AJ,-1.3501110177430213
TCGA-A2-A0T1,-1.4912486708457224
TCGA-D8-A1Y2,-1.5261187832474032
TCGA-D8-A73U,-2.8211805402276564
TCGA-E9-A248,-0.3993004604013613
TCGA-D8-A141,-1.1177445720848598
TCGA-E9-A1NE,-0.7216741167541276
TCGA-HN-A2OB,-0.24798077831988224
TCGA-E2-A15M,-1.3061060500931851
TCGA-BH-A1EU,-1.5436710723105027
TCGA-AR-A252,-1.061943291097004
TCGA-AC-A2FB,-0.7320822568933428
TCGA-E2-A108,-1.9227165583784858
TCGA-AR-A0U4,-0.8099675916125074
TCGA-EW-A2FR,-1.3408215680417261
TCGA-EW-A1PB,-2.3089832498452005
TCGA-EW-A1IZ,-1.0826251088469927
TCGA-BH-A209,-0.6945858914956026
TCGA-AO-A12D,-0.7246223391669516
TCGA-D8-A1JB,-0.5471967479624875
TCGA-AR-A0TS,-0.472457508758044
TCGA-B6-A3ZX,-0.7584058998921115
TCGA-EW-A3U0,-1.8304812029108595
TCGA-AR-A2LH,-0.9818089259792674
TCGA-A8-A09X,-0.7519999029134898
TCGA-E9-A3QA,-1.4850236965761119
TCGA-EW-A1OV,-0.7773596734033874
TCGA-AR-A1AO,-2.7561196185138965
TCGA-D8-A1JL,-0.6196392700756862
TCGA-PL-A8LZ,-0.33784480670658135
TCGA-C8-A26X,-0.7551606343750354
TCGA-BH-A0DV,-1.3113575851313324
TCGA-A7-A4SD,-0.41098449539645976
TCGA-AR-A5QQ,-0.5531635594316218
TCGA-LL-A441,-0.9469905764600589
TCGA-BH-A0B7,-0.8746345206194734
TCGA-BH-A0B6,-2.146981276397605
TCGA-C8-A278,-0.9174381132314557
TCGA-OL-A66I,-1.5801407108345258
TCGA-A2-A0EQ,-0.7204553038037584
TCGA-E9-A1ND,-0.8809060073070378
TCGA-C8-A12V,-1.7269350890883917
TCGA-PE-A5DE,-1.1987993463999054
TCGA-GM-A2DN,-1.157367928230991
TCGA-AR-A2LQ,-1.0717556506142347
TCGA-BH-A0C0,-0.729070891254292
TCGA-D8-A1JU,-1.02716532402001
TCGA-BH-A0BZ,-0.7284425663989925
TCGA-BH-A0W5,-0.726883212111578
TCGA-A7-A26G,-1.273617717282527
TCGA-BH-A0BO,-0.3194761373311476
TCGA-AR-A0TT,-1.2077351763629671
TCGA-AQ-A7U7,-1.1757246043207545
TCGA-C8-A132,-0.5898866141373874
TCGA-AR-A1AI,-0.27733123603018117
TCGA-BH-A0BR,-0.3190267546711148
TCGA-BH-A0C3,-0.6982781845865147
TCGA-GM-A2DF,-0.3810903164873732
TCGA-A8-A08X,-0.6928885785140702
TCGA-AC-A3BB,-0.9711014611730614
TCGA-BH-A0DX,-0.5784981709304293
TCGA-A7-A0CG,-0.4809005481907015
TCGA-AC-A2FE,-0.7585750165479677
TCGA-BH-A0DG,-0.39483231458998075
TCGA-S3-AA15,-0.8251882189037304
TCGA-E9-A1QZ,-0.4372099225196507
TCGA-AR-A1AQ,-0.5451149557346538
TCGA-EW-A1P1,-0.825115280658965
TCGA-AC-A6IW,-2.123345059646957
TCGA-E9-A1NC,-0.5026870762573457
TCGA-D8-A27M,-2.1829882914176006
TCGA-A8-A09Q,-0.3474696444386046
TCGA-E2-A153,-0.3958708498445388
TCGA-E9-A1NF,-0.40496501633731535
TCGA-A2-A0CM,-0.3100744150599891
TCGA-B6-A0WX,-0.4086280637995097
TCGA-A2-A0YK,-0.9250502323271148
TCGA-BH-A0EB,-0.6448502109666301
TCGA-E2-A14Z,-0.6017117154427755
TCGA-BH-A0DI,-0.7263332687063497
TCGA-BH-A18H,-0.07307799979488357
TCGA-5L-AAT1,-0.6983551113182207
TCGA-C8-A12K,-2.537252482567412
TCGA-BH-A2L8,-1.7074823514846644
TCGA-E2-A1II,-0.958964356561563
TCGA-A2-A3XY,-0.5553425241900112
TCGA-E9-A1NG,-1.4644812702142238
TCGA-BH-A0AY,-0.3200259377871302
TCGA-LD-A74U,-0.5036058934177182
TCGA-BH-A208,-1.1552135867896483
TCGA-AR-A1AT,-0.6721398267753388
TCGA-E2-A3DX,-0.9861154448085901
TCGA-BH-A0BF,-1.409552144489015
TCGA-A2-A1G1,-0.24393134174270067
TCGA-AC-A3W6,-0.6390898765214447
TCGA-C8-A1HM,-0.4244910562100706
TCGA-A8-A094,-0.262558002524983
TCGA-E9-A22D,-2.715507536880546
TCGA-D8-A1JG,-0.6647484662194175
TCGA-S3-AA17,-0.5182064705671643
