,Eigen-Patient
SDPR,-143241.32273608178
ADAMTS5,-203435.71489735824
PAMR1,-68245.56340350918
LMOD1,-277655.66190420114
PDE2A,-94485.10558880276
SCN4B,-53747.81972470733
SPRY2,-138265.7027163046
MME,-621378.3807752962
LIFR,-236138.57884335544
CAV1,-1193166.5670503527
STARD9,-117917.68553965764
CAV2,-417505.95794223103
SRPX,-283134.914674471
LDB2,-149010.08678134863
DST,-1144693.5163396408
PPP1R12B,-288011.22115457786
PALMD,-324944.0462437063
TNXB,-614557.7791973625
LIMS2,-208602.94063833015
SVEP1,-427732.7590318192
MATN2,-272540.62026865437
PLSCR4,-223573.05177470326
PPAP2B,-707175.8632660636
EBF1,-165303.32801401027
GPR146,-47735.33136398041
CNN1,-220598.94620683813
GSN,-5093131.2765968
RBMS3,-200658.39248129257
NPR1,-127504.85769918373
OXTR,-19570.23566002412
KLHL29,-56148.8036807781
ITIH5,-407723.29174361966
LHFP,-451171.0323931002
SLIT3,-801460.7113067352
ABCA6,-141357.48946270035
TSPAN7,-230901.65625441138
JAM2,-235182.25421913553
CACHD1,-101355.59569367573
FGF1,-127251.44710510883
LEPR,-155789.2029717298
CDC14B,-113499.51327161556
CEP112,-71855.56369772741
CD34,-593657.6430315372
GPRASP1,-68806.32996571276
CXorf36,-227482.78681456213
FAM13A,-99378.54417608984
IGFBP6,-104280.336470094
TNS1,-1394747.8310220062
TXNIP,-3930134.268112116
METTL7A,-343132.15763908206
IL33,-324398.5285586529
GNG11,-278281.03113351646
PEAR1,-87656.64616619766
ANXA1,-2507018.50326071
PTRF,-3362301.903722085
DMD,-228745.21236860388
GNAL,-79746.12849281609
FOXO1,-420710.08329691645
CLDN11,-112385.91522075814
ITGA7,-157513.6568306179
PPAP2A,-271173.27584672
FAM13C,-58862.30410090782
SIK2,-234839.45188087458
ENPP2,-740540.8045320625
EDNRB,-98448.59654552239
AOC3,-603438.0056510512
PID1,-83666.75718894791
SEMA3G,-131823.3111670137
CLEC3B,-80847.75616947275
FMO2,-610870.2564066786
SORBS1,-473518.1973946588
ROBO4,-184690.11392456005
CD36,-1658436.4735805606
CCDC69,-519306.5956165236
PROS1,-365411.4703838675
PGM5,-97294.82786619333
EPAS1,-1573522.61919429
NDN,-180046.92475231906
PDK4,-628376.3125451601
TGFBR3,-48822.325867598454
NR3C2,-7269.601489451818
SH3BGRL2,-28909.18754179646
MYZAP,-4013.149130948375
TSHZ2,-337945.4269544098
GYPC,-349058.6302860505
AKAP12,-486406.63645585655
PPARG,-90396.1911780778
C7orf41,89559.08326252465
LIPE,-293246.75424507674
AKAP2,-815543.8545310263
AQP1,-1901294.2420875449
FZD4,-356370.5865108108
GNAI1,-123238.5637163553
MMRN2,-353166.1584763659
SHE,-121286.95191992864
S1PR1,-366657.14407031605
NRN1,-151425.66644243343
MYCT1,-92928.38009537564
EGFLAM,-78364.80764480274
GALNT15,-206375.64023381117
CXCL12,-2227231.4513638797
LTBP4,-358411.2315540626
DTX1,-60963.9327704027
CLMP,-184764.07786509933
DDR2,-925794.0078670571
HSPB6,-277515.63192669896
ISM1,-147515.9626979787
NR3C1,-478151.3443601011
ACACB,-57456.22534790918
WASF3,-67688.88552470776
CDKN1C,-44856.27403585893
FAM126A,-264150.3701668041
MYH11,-678408.4378689372
MYLK,-1350324.5943043418
FABP4,-1402996.6784823576
GPR116,-287731.55793395167
PLIN4,-1177586.321940252
LPL,-826016.1154768746
SYNM,-839364.1207994447
VWF,-2420173.7035911847
KANK1,-122038.38204109418
MOCS1,-10688.843170017455
