,CPE
TCGA-AO-A0JC,-4.3771858788331945
TCGA-LD-A9QF,-4.264284073994372
TCGA-BH-A0H5,-4.164664834430706
TCGA-A2-A25F,-3.5322671432746926
TCGA-B6-A0RT,-3.1315764241408357
TCGA-A2-A0ST,-3.0577843948344166
TCGA-A2-A04Q,-2.9766131625973555
TCGA-E9-A2JT,-2.9522617929262367
TCGA-LL-A5YO,-2.896179850653358
TCGA-OL-A5RY,-2.785491806693729
TCGA-A2-A0EP,-2.777374683470023
TCGA-BH-A1F0,-2.727196103541658
TCGA-BH-A0RX,-2.6681624800965227
TCGA-EW-A1P7,-2.6504523930629817
TCGA-AR-A1AX,-2.634956066908634
TCGA-A8-A0A7,-2.6268389436849278
TCGA-A2-A0CL,-2.6268389436849278
TCGA-A8-A08H,-2.582563726101076
TCGA-AR-A1AW,-2.5227921823628767
TCGA-GM-A2DI,-2.5117233779669137
TCGA-E9-A243,-2.505082095329336
TCGA-AN-A0FN,-2.4172695804546964
TCGA-AO-A128,-2.3995594934211564
TCGA-A8-A07U,-2.3980836528350276
TCGA-AR-A24U,-2.3700426816985884
TCGA-AR-A1AJ,-2.3434775511482777
TCGA-A2-A0T1,-2.333884587338443
TCGA-D8-A1Y2,-2.323553703235544
TCGA-D8-A73U,-2.315436580011838
TCGA-E9-A248,-2.311746978546517
TCGA-D8-A141,-2.2770647247725
TCGA-E9-A1NE,-2.2357411883609055
TCGA-HN-A2OB,-2.215079420155108
TCGA-E2-A15M,-2.2069622969314016
TCGA-BH-A1EU,-2.196631412828503
TCGA-AR-A252,-2.135384028504175
TCGA-AC-A2FB,-2.0955363326787086
TCGA-E2-A108,-2.0793020862312965
TCGA-AR-A0U4,-2.017316781613904
TCGA-EW-A2FR,-1.9686140422716674
TCGA-EW-A1PB,-1.9664002813924746
TCGA-EW-A1IZ,-1.9486901943589339
TCGA-BH-A209,-1.941310991428292
TCGA-AO-A12D,-1.9398351508421636
TCGA-D8-A1JB,-1.9390972305490997
TCGA-AR-A0TS,-1.9346697087907145
TCGA-B6-A3ZX,-1.9287663464462008
TCGA-EW-A3U0,-1.9095804188265317
TCGA-AR-A2LH,-1.902939136188954
TCGA-A8-A09X,-1.8712085635871938
